Date,Change_Price,RSI,50MA,200MA,14-high,14-low,%K,SC,MACD,Log_Returns,Signal_MACD,Target
2019-02-08,0.316864013671875,61.29547656429643,250.35267791748046,260.99785148620606,273.44000244140625,260.6600036621094,-7.302728195331622,-0.8814862802240873,1.2671304900198948,0.0012207348650603578,2.9525653926717914,1
2019-02-11,0.14404296875,61.527533386398154,250.42524200439453,261.0500333404541,273.44000244140625,260.6600036621094,-6.175631305593696,-7.753487353988959,1.1875402541265885,0.0005544406194593066,3.0369327662527708,1
2019-02-12,3.341766357421875,66.53975670640835,250.44663970947266,261.106245803833,274.5199890136719,261.7900085449219,11.174533006022017,-0.7679421649679092,1.2275926564817041,0.012777360448250619,3.1336644073239226,1
2019-02-13,0.8546142578125,67.69874361685501,250.49658599853515,261.1655484771729,275.92999267578125,261.7900085449219,16.104191531470477,7.03436441063279,1.266213424921375,0.00324160048641442,3.23956751554613,1
2019-02-14,-0.585723876953125,66.01112598127854,250.50293060302735,261.2316206359863,275.92999267578125,261.7900085449219,11.961868092260742,13.080197543250938,1.2509273709721924,-0.0022205505589205643,3.3289389937357687,0
2019-02-15,2.871185302734375,69.96380331219503,250.49700653076172,261.30982528686525,277.4100036621094,262.4800109863281,25.93831889556156,18.001459506430784,1.3208077964761742,0.01083816186756792,3.4414845251860076,1
2019-02-19,0.460968017578125,70.55583918486238,250.6731021118164,261.398755569458,278.5799865722656,264.25,17.8895360599704,18.596574349264092,1.3657615664439504,0.001729172479125296,3.5621659176531653,1
2019-02-20,0.537750244140625,71.26733683376581,250.86778106689454,261.4931184387207,278.9200134277344,267.2699890136719,0.69810450873351,14.841986488088347,1.3940707417019667,0.002013424840986211,3.6820809865744235,1
2019-02-21,-0.95062255859375,68.13301161178447,251.16316833496094,261.5666436767578,278.9200134277344,267.8299865722656,-12.888073131937986,1.8998558122551656,1.3555628253310488,-0.0035620420663917685,3.771670757587893,0
2019-02-22,1.651641845703125,70.55595591785476,251.482041015625,261.64416923522947,279.3599853515625,267.8299865722656,1.9284570490848696,-3.420503858040011,1.3620654373812613,0.006180700642371306,3.85531135596179,1
2019-02-25,0.364898681640625,71.07914022546004,251.80706665039062,261.72351928710935,281.30999755859375,267.8299865722656,4.356448644255432,-2.201055812866037,1.3554765626839185,0.0013603706738143373,3.927873260722096,1
2019-02-26,-0.192047119140625,70.37043170967317,252.10285583496093,261.7897039794922,281.30999755859375,267.8299865722656,2.9317679126491636,3.0722245353296795,1.3190718227340312,-0.0007157359097984539,3.9776710226950867,0
2019-02-27,-0.115264892578125,69.91982283487081,252.39805816650392,261.8433908081055,281.30999755859375,267.8299865722656,2.0766878040718746,3.121634786992015,1.2638447253435743,-0.00042982415823988873,3.9996852791122217,0
2019-02-28,-0.4993896484375,67.89143188865827,252.77683349609376,261.8906541442871,281.30999755859375,267.8299865722656,-1.6279801590625587,1.1268251858860177,1.1816593535865536,-0.0018643670769460385,3.986047786825936,0
2019-03-01,1.670989990234375,70.93029390603158,253.28659912109376,261.9456571960449,281.30999755859375,270.0299987792969,-6.635409593017751,-2.0622339826696203,1.1594000602273695,0.006224697708497651,3.968354029181149,1
2019-03-04,-0.979522705078125,66.93135297807416,253.7821209716797,262.004656829834,281.8699951171875,272.3399963378906,-42.37140505765677,-16.878264936579168,1.0863386788436742,-0.003644173381790239,3.924373024784262,0
2019-03-05,-0.36492919921875,65.45085658260471,254.34328369140624,262.056438293457,281.8699951171875,272.8699951171875,-54.81024848090278,-34.605687710525906,0.9989182433801034,-0.001361069242312496,3.8514545681366283,0
2019-03-06,-1.622833251953125,59.1816212101215,254.9500845336914,262.10119384765625,281.8699951171875,272.8699951171875,-72.84172905815973,-56.67446086557323,0.8568245291691028,-0.0060751867370338886,3.7295515822630794,0
2019-03-07,-2.2279052734375,51.84029959661528,255.60902740478517,262.13802688598633,281.8699951171875,274.07000732421875,-127.99600923353809,-85.21599559086701,0.654580171028897,-0.008400889767561814,3.5392910685072327,0
2019-03-08,-0.52813720703125,50.24900856171597,256.3795553588867,262.1625686645508,281.8699951171875,272.4200134277344,-93.77601668943379,-98.20458499371068,0.4726175582076735,-0.0020018681219147183,3.299666270149732,0
2019-03-11,3.821929931640625,59.85307292919815,256.9991275024414,262.20981536865236,281.8699951171875,272.4200134277344,-53.332235344268014,-91.70142042241343,0.4665593595868245,0.014397137202278643,3.095118475434643,1
2019-03-12,1.008270263671875,61.940427146628465,257.6025665283203,262.25855529785156,281.8699951171875,272.4200134277344,-42.66268807099468,-63.25698003489898,0.4900902279062507,0.0037638323585102995,2.9323109625437707,1
2019-03-13,1.776580810546875,65.35815551753726,258.247682800293,262.31882705688474,282.3800048828125,272.4200134277344,-22.640937098805338,-39.545286838022825,0.5630987294693455,0.006597627409128393,2.825861067908014,1
2019-03-14,-0.172943115234375,64.74860869912044,258.8476641845703,262.3813093566894,282.3800048828125,272.4200134277344,-24.377315247465294,-29.89364680575525,0.6011551227641689,-0.0006403438889099888,2.751115400559393,0
2019-03-15,1.333984375,67.28321250631303,259.46933197021485,262.4652688598633,282.3800048828125,272.4200134277344,-10.983886337244039,-19.334046227838368,0.6669766585225148,0.004928662789088101,2.71517221315931,1
2019-03-18,0.983795166015625,69.05057267450175,260.22533294677737,262.5371640014648,282.6600036621094,272.4200134277344,-1.076162887728584,-12.14578815747945,0.7396599530662229,0.0036193207985597553,2.7149413203347343,1
2019-03-19,0.0675048828125,69.17362562881758,260.82558197021484,262.6172969055176,284.3599853515625,272.4200134277344,-0.3575727989081122,-4.13920734129372,0.7829818664144454,0.00024786663378151275,2.731995406205502,1
2019-03-20,-0.819854736328125,65.75422867249827,261.3712149047852,262.6807464599609,284.3599853515625,272.4200134277344,-7.224044023115714,-2.8859265699176126,0.7714766643609323,-0.0030145354972894722,2.739682304852775,0
2019-03-21,3.06719970703125,71.44183040102237,261.93229095458986,262.7533822631836,285.17999267578125,272.4200134277344,17.277856304066546,3.2320798273474307,0.8599532827317944,0.011231535372183465,2.783786161879559,1
